dept_name,gender,emp_no,from_date,to_date,Year_of_Hiring,Active
Marketing,M,110022,30-12-95,29-12-98,1990,0
Marketing,M,110022,30-12-95,29-12-98,1991,0
Marketing,M,110022,30-12-95,29-12-98,1992,0
Marketing,M,110022,30-12-95,29-12-98,1993,0
Marketing,M,110022,30-12-95,29-12-98,1994,0
Marketing,M,110022,30-12-95,29-12-98,1995,1
Marketing,M,110022,30-12-95,29-12-98,1996,1
Marketing,M,110022,30-12-95,29-12-98,1997,1
Marketing,M,110022,30-12-95,29-12-98,1998,1
Marketing,M,110022,30-12-95,29-12-98,1999,0
Marketing,M,110022,30-12-95,29-12-98,2000,0
Marketing,M,110039,09-04-97,01-01-99,1990,0
Marketing,M,110039,09-04-97,01-01-99,1991,0
Marketing,M,110039,09-04-97,01-01-99,1992,0
Marketing,M,110039,09-04-97,01-01-99,1993,0
Marketing,M,110039,09-04-97,01-01-99,1994,0
Marketing,M,110039,09-04-97,01-01-99,1995,0
Marketing,M,110039,09-04-97,01-01-99,1996,0
Marketing,M,110039,09-04-97,01-01-99,1997,1
Marketing,M,110039,09-04-97,01-01-99,1998,1
Marketing,M,110039,09-04-97,01-01-99,1999,1
Marketing,M,110039,09-04-97,01-01-99,2000,1
Marketing,M,110040,31-12-91,29-12-97,1990,0
Marketing,M,110040,31-12-91,29-12-97,1991,1
Marketing,M,110040,31-12-91,29-12-97,1992,1
Marketing,M,110040,31-12-91,29-12-97,1993,1
Marketing,M,110040,31-12-91,29-12-97,1994,1
Marketing,M,110040,31-12-91,29-12-97,1995,1
Marketing,M,110040,31-12-91,29-12-97,1996,1
Marketing,M,110040,31-12-91,29-12-97,1997,1
Marketing,M,110040,31-12-91,29-12-97,1998,0
Marketing,M,110040,31-12-91,29-12-97,1999,0
Marketing,M,110040,31-12-91,29-12-97,2000,0
Marketing,F,110041,02-08-93,01-08-98,1990,0
Marketing,F,110041,02-08-93,01-08-98,1991,0
Marketing,F,110041,02-08-93,01-08-98,1992,0
Marketing,F,110041,02-08-93,01-08-98,1993,1
Marketing,F,110041,02-08-93,01-08-98,1994,1
Marketing,F,110041,02-08-93,01-08-98,1995,1
Marketing,F,110041,02-08-93,01-08-98,1996,1
Marketing,F,110041,02-08-93,01-08-98,1997,1
Marketing,F,110041,02-08-93,01-08-98,1998,1
Marketing,F,110041,02-08-93,01-08-98,1999,0
Marketing,F,110041,02-08-93,01-08-98,2000,0
Marketing,M,110042,30-12-93,28-12-00,1990,0
Marketing,M,110042,30-12-93,28-12-00,1991,0
Marketing,M,110042,30-12-93,28-12-00,1992,0
Marketing,M,110042,30-12-93,28-12-00,1993,1
Marketing,M,110042,30-12-93,28-12-00,1994,1
Marketing,M,110042,30-12-93,28-12-00,1995,1
Marketing,M,110042,30-12-93,28-12-00,1996,1
Marketing,M,110042,30-12-93,28-12-00,1997,1
Marketing,M,110042,30-12-93,28-12-00,1998,1
Marketing,M,110042,30-12-93,28-12-00,1999,1
Marketing,M,110042,30-12-93,28-12-00,2000,1
Marketing,F,110043,20-11-92,19-11-97,1990,0
Marketing,F,110043,20-11-92,19-11-97,1991,0
Marketing,F,110043,20-11-92,19-11-97,1992,1
Marketing,F,110043,20-11-92,19-11-97,1993,1
Marketing,F,110043,20-11-92,19-11-97,1994,1
Marketing,F,110043,20-11-92,19-11-97,1995,1
Marketing,F,110043,20-11-92,19-11-97,1996,1
Marketing,F,110043,20-11-92,19-11-97,1997,1
Marketing,F,110043,20-11-92,19-11-97,1998,0
Marketing,F,110043,20-11-92,19-11-97,1999,0
Marketing,F,110043,20-11-92,19-11-97,2000,0
Marketing,F,110044,13-10-95,11-10-00,1990,0
Marketing,F,110044,13-10-95,11-10-00,1991,0
Marketing,F,110044,13-10-95,11-10-00,1992,0
Marketing,F,110044,13-10-95,11-10-00,1993,0
Marketing,F,110044,13-10-95,11-10-00,1994,0
Marketing,F,110044,13-10-95,11-10-00,1995,1
Marketing,F,110044,13-10-95,11-10-00,1996,1
Marketing,F,110044,13-10-95,11-10-00,1997,1
Marketing,F,110044,13-10-95,11-10-00,1998,1
Marketing,F,110044,13-10-95,11-10-00,1999,1
Marketing,F,110044,13-10-95,11-10-00,2000,1
Marketing,M,110045,04-02-95,01-01-99,1990,0
Marketing,M,110045,04-02-95,01-01-99,1991,0
Marketing,M,110045,04-02-95,01-01-99,1992,0
Marketing,M,110045,04-02-95,01-01-99,1993,0
Marketing,M,110045,04-02-95,01-01-99,1994,0
Marketing,M,110045,04-02-95,01-01-99,1995,1
Marketing,M,110045,04-02-95,01-01-99,1996,1
Marketing,M,110045,04-02-95,01-01-99,1997,1
Marketing,M,110045,04-02-95,01-01-99,1998,1
Marketing,M,110045,04-02-95,01-01-99,1999,1
Marketing,M,110045,04-02-95,01-01-99,2000,1
Marketing,F,110046,29-12-96,28-12-02,1990,0
Marketing,F,110046,29-12-96,28-12-02,1991,0
Marketing,F,110046,29-12-96,28-12-02,1992,0
Marketing,F,110046,29-12-96,28-12-02,1993,0
Marketing,F,110046,29-12-96,28-12-02,1994,0
Marketing,F,110046,29-12-96,28-12-02,1995,0
Marketing,F,110046,29-12-96,28-12-02,1996,1
Marketing,F,110046,29-12-96,28-12-02,1997,1
Marketing,F,110046,29-12-96,28-12-02,1998,1
Marketing,F,110046,29-12-96,28-12-02,1999,1
Marketing,F,110046,29-12-96,28-12-02,2000,1
Marketing,F,110047,06-01-93,05-01-99,1990,0
Marketing,F,110047,06-01-93,05-01-99,1991,0
Marketing,F,110047,06-01-93,05-01-99,1992,0
Marketing,F,110047,06-01-93,05-01-99,1993,1
Marketing,F,110047,06-01-93,05-01-99,1994,1
Marketing,F,110047,06-01-93,05-01-99,1995,1
Marketing,F,110047,06-01-93,05-01-99,1996,1
Marketing,F,110047,06-01-93,05-01-99,1997,1
Marketing,F,110047,06-01-93,05-01-99,1998,1
Marketing,F,110047,06-01-93,05-01-99,1999,1
Marketing,F,110047,06-01-93,05-01-99,2000,0
Marketing,M,110048,10-08-94,09-08-99,1990,0
Marketing,M,110048,10-08-94,09-08-99,1991,0
Marketing,M,110048,10-08-94,09-08-99,1992,0
Marketing,M,110048,10-08-94,09-08-99,1993,0
Marketing,M,110048,10-08-94,09-08-99,1994,1
Marketing,M,110048,10-08-94,09-08-99,1995,1
Marketing,M,110048,10-08-94,09-08-99,1996,1
Marketing,M,110048,10-08-94,09-08-99,1997,1
Marketing,M,110048,10-08-94,09-08-99,1998,1
Marketing,M,110048,10-08-94,09-08-99,1999,1
Marketing,M,110048,10-08-94,09-08-99,2000,0
Marketing,M,110049,09-06-91,07-06-99,1990,0
Marketing,M,110049,09-06-91,07-06-99,1991,1
Marketing,M,110049,09-06-91,07-06-99,1992,1
Marketing,M,110049,09-06-91,07-06-99,1993,1
Marketing,M,110049,09-06-91,07-06-99,1994,1
Marketing,M,110049,09-06-91,07-06-99,1995,1
Marketing,M,110049,09-06-91,07-06-99,1996,1
Marketing,M,110049,09-06-91,07-06-99,1997,1
Marketing,M,110049,09-06-91,07-06-99,1998,1
Marketing,M,110049,09-06-91,07-06-99,1999,1
Marketing,M,110049,09-06-91,07-06-99,2000,0
Marketing,F,110050,29-05-98,27-05-00,1990,0
Marketing,F,110050,29-05-98,27-05-00,1991,0
Marketing,F,110050,29-05-98,27-05-00,1992,0
Marketing,F,110050,29-05-98,27-05-00,1993,0
Marketing,F,110050,29-05-98,27-05-00,1994,0
Marketing,F,110050,29-05-98,27-05-00,1995,0
Marketing,F,110050,29-05-98,27-05-00,1996,0
Marketing,F,110050,29-05-98,27-05-00,1997,0
Marketing,F,110050,29-05-98,27-05-00,1998,1
Marketing,F,110050,29-05-98,27-05-00,1999,1
Marketing,F,110050,29-05-98,27-05-00,2000,1
Marketing,M,110051,29-05-99,27-05-00,1990,0
Marketing,M,110051,29-05-99,27-05-00,1991,0
Marketing,M,110051,29-05-99,27-05-00,1992,0
Marketing,M,110051,29-05-99,27-05-00,1993,0
Marketing,M,110051,29-05-99,27-05-00,1994,0
Marketing,M,110051,29-05-99,27-05-00,1995,0
Marketing,M,110051,29-05-99,27-05-00,1996,0
Marketing,M,110051,29-05-99,27-05-00,1997,0
Marketing,M,110051,29-05-99,27-05-00,1998,0
Marketing,M,110051,29-05-99,27-05-00,1999,1
Marketing,M,110051,29-05-99,27-05-00,2000,1
Finance,M,110085,31-12-91,29-12-98,1990,0
Finance,M,110085,31-12-91,29-12-98,1991,1
Finance,M,110085,31-12-91,29-12-98,1992,1
Finance,M,110085,31-12-91,29-12-98,1993,1
Finance,M,110085,31-12-91,29-12-98,1994,1
Finance,M,110085,31-12-91,29-12-98,1995,1
Finance,M,110085,31-12-91,29-12-98,1996,1
Finance,M,110085,31-12-91,29-12-98,1997,1
Finance,M,110085,31-12-91,29-12-98,1998,1
Finance,M,110085,31-12-91,29-12-98,1999,0
Finance,M,110085,31-12-91,29-12-98,2000,0
